Mode,Start_Time,Animal,Weight,Unit,Pellets
1,2026-02-19 23:39:36.386405,121853457,19.74,2,0
1,2026-02-20 00:03:32.264373,121868476,20.64,2,6
1,2026-02-19 23:49:21.826875,121857984,19.67,1,4
1,2026-02-20 00:05:19.648115,121857984,17.89,1,1
1,2026-02-20 00:23:34.120420,121857984,19.82,1,4
1,2026-02-20 00:04:46.060006,121853457,19.78,2,1
1,2026-02-20 01:07:50.636772,12186196220,19.02,1,8
1,2026-02-20 02:27:54.584402,121853457,19.3,2,0
1,2026-02-20 03:18:26.214474,12186196220,19.02,2,5
1,2026-02-20 02:28:19.564391,121853457,19.57,1,4
