Mode,Start_Time,Animal,Unit
0,2025-10-13 00:00:25.375288,12186117109,4
1,2025-10-13 00:00:25.731200,12184124102,4
0,2025-10-13 00:00:26.144764,12186117109,3
start Lindzey,2025-10-13 00:00:26.146475,0,0
1,2025-10-13 00:00:26.715417,12184124102,3
End Lindzey,2025-10-13 00:01:26.146762,0,0
0,2025-10-13 00:03:51.815752,12184135157,3
0,2025-10-13 00:03:52.828803,12184135157,4
solo,2025-10-13 00:03:52.830539,0,0
0,2025-10-13 00:04:53.544577,12184124102,3
0,2025-10-13 00:04:54.644006,12184124102,4
solo,2025-10-13 00:04:54.645675,0,0
0,2025-10-13 00:05:04.757723,12184217195,4
0,2025-10-13 00:05:08.441247,12184217195,3
solo,2025-10-13 00:05:08.442914,0,0
0,2025-10-13 00:07:20.227264,12184124102,4
0,2025-10-13 00:07:24.050811,12184124102,3
solo,2025-10-13 00:07:24.052426,0,0
0,2025-10-13 00:09:31.652866,12184217195,3
1,2025-10-13 00:09:32.010130,12184124102,3
0,2025-10-13 00:09:59.821690,12184124102,4
solo,2025-10-13 00:09:59.823350,0,0
0,2025-10-13 00:10:01.184523,12184124102,3
0,2025-10-13 00:13:04.785622,12184124102,3
0,2025-10-13 00:13:05.664692,12184124102,4
solo,2025-10-13 00:13:05.666384,0,0
0,2025-10-13 00:14:38.646560,12186117109,3
0,2025-10-13 00:14:39.818615,12186117109,4
solo,2025-10-13 00:14:39.820292,0,0
0,2025-10-13 00:14:55.407846,12184124102,4
1,2025-10-13 00:14:55.911592,12184217195,4
0,2025-10-13 00:14:56.733675,12184124102,3
start Lindzey,2025-10-13 00:14:56.735550,0,0
1,2025-10-13 00:14:57.575215,12184217195,3
End Lindzey,2025-10-13 00:15:56.736112,0,0
0,2025-10-13 00:16:59.736373,12184217195,3
0,2025-10-13 00:17:00.926937,12184217195,4
solo,2025-10-13 00:17:00.928565,0,0
0,2025-10-13 00:17:51.149465,12184135157,4
0,2025-10-13 00:17:54.691381,12184124102,3
start Lindzey,2025-10-13 00:17:54.693035,0,0
1,2025-10-13 00:17:59.730598,12184124102,3
2,2025-10-13 00:18:01.420727,12184135157,3
End Lindzey,2025-10-13 00:18:54.693723,0,0
0,2025-10-13 00:20:56.468966,12186117109,4
1,2025-10-13 00:20:56.939307,12184217195,4
0,2025-10-13 00:20:58.473977,12186117109,3
start Lindzey,2025-10-13 00:20:58.475951,0,0
1,2025-10-13 00:20:58.894400,12184217195,3
End Lindzey,2025-10-13 00:21:58.561386,0,0
0,2025-10-13 00:22:14.589730,12184217195,3
0,2025-10-13 00:22:17.178651,12184217195,4
solo,2025-10-13 00:22:17.180332,0,0
0,2025-10-13 00:22:36.024320,12184135157,3
0,2025-10-13 00:22:43.061602,12184135157,4
solo,2025-10-13 00:22:43.063147,0,0
0,2025-10-13 00:23:29.052580,12184124102,3
0,2025-10-13 00:23:30.854249,12184124102,4
solo,2025-10-13 00:23:30.855812,0,0
0,2025-10-13 00:28:50.880499,12184135157,4
0,2025-10-13 00:28:52.167280,12184135157,3
solo,2025-10-13 00:28:52.168961,0,0
0,2025-10-13 00:29:18.517859,12186117109,3
0,2025-10-13 00:29:19.905188,12186117109,4
solo,2025-10-13 00:29:19.906943,0,0
0,2025-10-13 00:32:39.840729,12184124102,4
0,2025-10-13 00:32:41.423316,12184124102,3
solo,2025-10-13 00:32:41.424967,0,0
0,2025-10-13 00:33:16.628526,12184135157,3
1,2025-10-13 00:33:19.771285,12184124102,3
0,2025-10-13 00:33:23.678205,12184135157,4
start Lindzey,2025-10-13 00:33:23.679842,0,0
1,2025-10-13 00:33:24.186647,12184124102,4
End Lindzey,2025-10-13 00:34:23.680389,0,0
0,2025-10-13 00:34:28.296955,12184135157,4
1,2025-10-13 00:34:28.912986,12184124102,4
0,2025-10-13 00:34:34.044018,12184135157,3
start Lindzey,2025-10-13 00:34:34.045678,0,0
1,2025-10-13 00:34:34.591505,12184124102,3
End Lindzey,2025-10-13 00:35:34.046002,0,0
0,2025-10-13 00:36:16.042093,12184124102,3
1,2025-10-13 00:36:21.058955,12184135157,3
0,2025-10-13 00:36:22.942129,12184124102,4
start Lindzey,2025-10-13 00:36:22.943745,0,0
1,2025-10-13 00:36:23.868307,12184135157,4
End Lindzey,2025-10-13 00:37:22.944311,0,0
0,2025-10-13 00:38:29.079544,12184124102,4
1,2025-10-13 00:38:30.091276,12186117109,4
0,2025-10-13 00:38:31.124662,12184124102,3
start Lindzey,2025-10-13 00:38:31.126561,0,0
1,2025-10-13 00:38:31.775558,12186117109,3
End Lindzey,2025-10-13 00:39:31.126844,0,0
0,2025-10-13 00:41:32.647802,12186117109,3
0,2025-10-13 00:41:33.477124,12186117109,4
solo,2025-10-13 00:41:33.478793,0,0
0,2025-10-13 00:43:25.468918,12184124102,3
0,2025-10-13 00:43:26.599968,12184124102,4
solo,2025-10-13 00:43:26.601661,0,0
0,2025-10-13 00:46:59.563814,12184124102,4
0,2025-10-13 00:47:05.284430,12184124102,3
solo,2025-10-13 00:47:05.286121,0,0
0,2025-10-13 00:50:52.336385,12184135157,4
0,2025-10-13 00:50:55.076803,12184135157,3
solo,2025-10-13 00:50:55.078663,0,0
0,2025-10-13 00:51:02.239484,12184124102,3
0,2025-10-13 00:51:03.543217,12184124102,4
solo,2025-10-13 00:51:03.544853,0,0
0,2025-10-13 00:51:33.863759,12184124102,4
0,2025-10-13 00:51:34.967529,12184124102,3
solo,2025-10-13 00:51:34.969176,0,0
0,2025-10-13 00:51:42.849704,12186117109,4
0,2025-10-13 00:51:46.070098,12186117109,3
solo,2025-10-13 00:51:46.071742,0,0
0,2025-10-13 00:52:51.079335,12184217195,4
0,2025-10-13 00:52:52.483769,12184217195,3
solo,2025-10-13 00:52:52.485418,0,0
0,2025-10-13 00:52:59.082576,12184124102,3
0,2025-10-13 00:54:09.820414,12186117109,3
0,2025-10-13 00:54:10.984194,12186117109,4
solo,2025-10-13 00:54:10.985889,0,0
0,2025-10-13 00:58:43.490812,12184124102,3
0,2025-10-13 00:58:45.093738,12184124102,4
solo,2025-10-13 00:58:45.095477,0,0
0,2025-10-13 01:00:30.085761,12184217195,3
0,2025-10-13 01:00:31.425906,12184217195,4
solo,2025-10-13 01:00:31.427452,0,0
0,2025-10-13 01:00:32.612445,12184135157,3
0,2025-10-13 01:00:35.220662,12184135157,4
solo,2025-10-13 01:00:35.222336,0,0
0,2025-10-13 01:00:48.101863,12184135157,4
0,2025-10-13 01:00:48.817052,12184135157,3
solo,2025-10-13 01:00:48.818905,0,0
0,2025-10-13 01:02:09.481207,12184124102,4
0,2025-10-13 01:02:12.319765,12184124102,3
solo,2025-10-13 01:02:12.321476,0,0
0,2025-10-13 01:06:25.245147,12186117109,4
0,2025-10-13 01:06:26.625772,12186117109,3
solo,2025-10-13 01:06:26.627424,0,0
0,2025-10-13 01:08:08.456612,12184135157,3
0,2025-10-13 01:08:11.439645,12184135157,4
solo,2025-10-13 01:08:11.441302,0,0
0,2025-10-13 01:08:44.803629,12184124102,3
0,2025-10-13 01:08:46.129460,12184124102,4
solo,2025-10-13 01:08:46.131142,0,0
0,2025-10-13 01:09:49.920868,12184217195,4
0,2025-10-13 01:09:55.151008,12184217195,3
solo,2025-10-13 01:09:55.152685,0,0
0,2025-10-13 01:10:52.633666,12184124102,4
0,2025-10-13 01:10:54.221117,12184124102,3
solo,2025-10-13 01:10:54.222823,0,0
0,2025-10-13 01:11:44.175120,12186117109,3
0,2025-10-13 01:11:59.816132,12186117109,4
solo,2025-10-13 01:11:59.817789,0,0
0,2025-10-13 01:15:06.079881,12184217195,3
0,2025-10-13 01:15:06.993074,12184217195,4
solo,2025-10-13 01:15:06.994775,0,0
0,2025-10-13 01:15:13.888590,12186117109,4
0,2025-10-13 01:15:16.976651,12186117109,3
solo,2025-10-13 01:15:16.978529,0,0
0,2025-10-13 01:15:47.621830,12184135157,4
0,2025-10-13 01:16:08.194576,12184135157,3
solo,2025-10-13 01:16:08.196275,0,0
0,2025-10-13 01:16:19.408859,12184124102,3
0,2025-10-13 01:16:21.296896,12184124102,4
solo,2025-10-13 01:16:21.298582,0,0
0,2025-10-13 01:19:18.776564,12184217195,4
0,2025-10-13 01:19:19.858276,12184217195,3
solo,2025-10-13 01:19:19.859980,0,0
0,2025-10-13 01:20:38.662700,12186117109,3
0,2025-10-13 01:20:48.251183,12186117109,4
solo,2025-10-13 01:20:48.252850,0,0
0,2025-10-13 01:22:42.324196,12184135157,3
0,2025-10-13 01:22:50.299524,12184135157,4
solo,2025-10-13 01:22:50.301167,0,0
0,2025-10-13 01:24:31.734232,12184217195,3
0,2025-10-13 01:24:35.342893,12184217195,4
solo,2025-10-13 01:24:35.344543,0,0
0,2025-10-13 01:24:45.769909,12184124102,4
1,2025-10-13 01:24:46.191765,12184217195,4
0,2025-10-13 01:24:46.846397,12184124102,3
start Lindzey,2025-10-13 01:24:46.848039,0,0
1,2025-10-13 01:24:47.569921,12184217195,3
End Lindzey,2025-10-13 01:25:46.848492,0,0
0,2025-10-13 01:25:57.332728,12184217195,3
1,2025-10-13 01:25:57.887205,12184124102,3
0,2025-10-13 01:25:58.597300,12184124102,4
solo,2025-10-13 01:25:58.599082,0,0
0,2025-10-13 01:26:12.865860,12184124102,4
0,2025-10-13 01:26:14.579125,12184124102,3
solo,2025-10-13 01:26:14.580790,0,0
0,2025-10-13 01:29:15.686349,12184124102,3
0,2025-10-13 01:29:17.879488,12184124102,4
solo,2025-10-13 01:29:17.881169,0,0
0,2025-10-13 01:31:26.739393,12184217195,4
1,2025-10-13 01:31:27.119927,12184124102,4
0,2025-10-13 01:31:28.571904,12184217195,3
start Lindzey,2025-10-13 01:31:28.573573,0,0
1,2025-10-13 01:31:29.002319,12184124102,3
End Lindzey,2025-10-13 01:32:28.573923,0,0
0,2025-10-13 01:32:47.462338,12184217195,3
0,2025-10-13 01:32:49.200664,12184217195,4
solo,2025-10-13 01:32:49.202350,0,0
0,2025-10-13 01:32:55.909476,12184217195,4
0,2025-10-13 01:33:05.013227,12184217195,3
solo,2025-10-13 01:33:05.014918,0,0
0,2025-10-13 01:33:49.060354,12184124102,3
0,2025-10-13 01:33:54.954190,12184124102,4
solo,2025-10-13 01:33:54.955899,0,0
0,2025-10-13 01:35:38.813478,12184217195,3
0,2025-10-13 01:35:41.465702,12186117109,4
start Lindzey,2025-10-13 01:35:41.467331,0,0
1,2025-10-13 01:35:57.311890,12186117109,4
2,2025-10-13 01:36:00.288963,12184217195,4
End Lindzey,2025-10-13 01:36:41.467625,0,0
0,2025-10-13 01:36:46.638395,12186117109,4
1,2025-10-13 01:36:47.807938,12184217195,4
0,2025-10-13 01:36:49.226626,12186117109,3
start Lindzey,2025-10-13 01:36:49.228222,0,0
1,2025-10-13 01:36:49.735271,12184217195,3
End Lindzey,2025-10-13 01:37:49.228559,0,0
0,2025-10-13 01:38:14.875360,12184124102,4
0,2025-10-13 01:38:16.051707,12184124102,3
solo,2025-10-13 01:38:16.053374,0,0
0,2025-10-13 01:38:49.384461,12184217195,3
0,2025-10-13 01:38:54.569487,12184217195,4
solo,2025-10-13 01:38:54.571075,0,0
0,2025-10-13 01:39:26.036400,12184135157,4
0,2025-10-13 01:39:28.692981,12184135157,3
solo,2025-10-13 01:39:28.694560,0,0
0,2025-10-13 01:40:40.661800,12184124102,3
0,2025-10-13 01:40:41.849710,12184124102,4
solo,2025-10-13 01:40:41.851269,0,0
0,2025-10-13 01:41:13.419956,12186117109,3
0,2025-10-13 01:41:17.943210,12186117109,4
solo,2025-10-13 01:41:17.944840,0,0
0,2025-10-13 01:41:25.022091,12186117109,4
1,2025-10-13 01:41:25.986720,12184217195,4
2,2025-10-13 01:41:26.408368,12186117109,4
3,2025-10-13 01:41:27.395517,12184217195,4
0,2025-10-13 01:41:42.714911,12186117109,3
start Lindzey,2025-10-13 01:41:42.716488,0,0
1,2025-10-13 01:41:44.399890,12184217195,3
End Lindzey,2025-10-13 01:42:42.717046,0,0
0,2025-10-13 01:42:59.641012,12186117109,3
