Mode,Start_Time,Animal,Weight,Unit,Pellets
4,2026-03-21 22:27:39.180551,12184180174,18.3,2,0
4,2026-03-21 22:47:28.639988,121848676,15.35,1,1
4,2026-03-22 01:39:38.848727,12185194217,16.75,1,1
4,2026-03-22 01:40:30.036270,12185194217,16.88,1,0
4,2026-03-22 01:41:18.372972,12185194217,16.92,1,1
4,2026-03-22 01:33:17.432942,12185194217,17.01,2,1
4,2026-03-22 01:42:26.621607,12185194217,16.64,2,1
4,2026-03-22 01:42:33.165680,12185194217,16.22,2,1
4,2026-03-22 01:43:07.006078,12185194217,16.78,2,1
4,2026-03-22 01:41:31.422531,12185194217,17.25,1,1
4,2026-03-22 01:51:28.151261,12185194217,17.09,1,1
4,2026-03-22 01:54:41.975693,12184230252,17.96,1,1
4,2026-03-22 01:43:39.505907,12185194217,17.32,2,2
4,2026-03-22 04:05:56.616821,12184180174,16.14,2,0
4,2026-03-22 04:07:00.126414,12184180174,17.71,2,0
4,2026-03-22 04:07:07.314890,12184180174,16.56,2,0
4,2026-03-22 04:13:22.000079,12184180174,17.3,2,0
4,2026-03-22 04:13:37.580193,12184180174,16.77,2,1
4,2026-03-22 04:14:24.490231,12184180174,17.16,2,1
4,2026-03-22 04:15:07.541322,12184180174,11.87,2,1
4,2026-03-22 04:15:49.416290,12184180174,16.89,2,1
4,2026-03-22 04:16:53.388657,12184180174,17.51,2,1
4,2026-03-22 04:17:18.378944,12184180174,17.19,2,1
4,2026-03-22 04:17:54.023074,12184180174,17.07,2,1
4,2026-03-22 04:18:25.696127,12184180174,12.53,2,1
4,2026-03-22 04:19:16.738302,12184180174,17.3,2,1
4,2026-03-22 04:19:59.084637,12184180174,17.41,2,2
4,2026-03-22 04:20:53.304432,12184180174,16.99,2,1
4,2026-03-22 04:21:44.919212,12184180174,17.73,2,0
4,2026-03-22 04:22:47.980318,12184180174,17.54,2,0
4,2026-03-22 04:23:33.420058,12184180174,16.97,2,1
4,2026-03-22 04:24:20.882790,12184180174,16.9,2,2
4,2026-03-22 04:24:55.935888,12184180174,16.56,2,1
4,2026-03-22 04:25:31.109468,12184180174,15.86,2,1
4,2026-03-22 04:26:08.511182,12184180174,18.7,2,1
4,2026-03-22 04:26:43.437210,12184180174,17.35,2,1
4,2026-03-22 04:26:57.260025,12184180174,16.58,2,1
4,2026-03-22 04:27:36.544036,12184180174,17.59,2,1
4,2026-03-22 04:29:18.415326,12184180174,15.99,2,0
4,2026-03-22 04:29:49.365099,12184180174,17.33,2,1
4,2026-03-22 04:30:20.816369,12184180174,11.16,2,1
4,2026-03-22 04:00:21.351252,12184180174,17.8,1,0
4,2026-03-22 04:33:26.109691,121848676,17.07,1,0
4,2026-03-22 04:31:03.124220,12184180174,17.69,2,1
4,2026-03-22 04:39:11.655249,121848676,16.61,2,1
4,2026-03-22 04:39:56.936001,12184180174,18.12,2,0
4,2026-03-22 04:33:28.206886,121848676,16.96,1,0
4,2026-03-22 04:56:54.885342,12185194217,17.17,1,0
4,2026-03-22 04:57:15.958360,12185194217,17.21,1,1
4,2026-03-22 04:57:55.060721,12185194217,16.57,1,1
4,2026-03-22 04:58:27.339171,12185194217,16.34,1,1
4,2026-03-22 04:55:54.629608,12185194217,17.03,2,1
4,2026-03-22 04:59:04.651952,12185194217,16.64,1,1
4,2026-03-22 05:00:15.251346,12185194217,16.63,1,1
4,2026-03-22 05:01:00.689228,12185194217,16.43,1,1
4,2026-03-22 04:59:34.308598,12185194217,16.96,2,1
4,2026-03-22 05:01:57.562338,12185194217,16.83,2,1
4,2026-03-22 05:01:14.645884,12185194217,16.48,1,1
4,2026-03-22 05:03:03.380403,12185194217,16.71,1,1
4,2026-03-22 05:02:25.022767,12185194217,17.05,2,1
4,2026-03-22 05:11:58.822706,12185194217,16.71,2,1
4,2026-03-22 05:03:32.976864,12185194217,17.15,1,1
4,2026-03-22 05:13:22.718058,12185194217,15.98,1,1
4,2026-03-22 05:14:00.119489,12185194217,16.96,1,1
4,2026-03-22 05:14:44.872963,12185194217,16.49,1,1
4,2026-03-22 05:14:54.113891,12185194217,16.97,1,1
4,2026-03-22 05:12:03.649923,12185194217,16.63,2,0
