Mode,Start_Time,Animal,Weight,Unit,Pellets
8,2025-08-12 23:40:11.821870,1111111140141,18.36,4,0
99,2025-08-13 00:46:51.751792,11111112223,19.42,4,1
99,2025-08-13 00:46:58.265785,11111112223,19.47,4,0
99,2025-08-13 00:47:01.518772,11111112223,19.7,4,0
99,2025-08-13 00:47:05.306233,1102000232,18.84,4,0
8,2025-08-13 00:47:05.512869,11111112223,19.44,4,0
8,2025-08-13 00:47:09.223660,11111112223,19.67,4,0
8,2025-08-12 23:46:17.132688,1111111140141,18.85,1,0
99,2025-08-12 23:17:31.599957,11111112223,20.19,3,0
8,2025-08-13 04:06:14.647731,1111111117116,16.9,3,0
8,2025-08-13 00:47:48.312756,11111112223,19.47,4,7
8,2025-08-13 04:16:59.992209,1111111120121,18.32,4,0
