Mode,Start_Time,Animal,Unit
OPEN,2025-12-20 01:14:35.661348,0,0
0,2025-12-20 01:14:56.389450,12184255229,3
0,2025-12-20 01:14:57.733940,12184255229,4
solo,2025-12-20 01:14:58.044265,0,0
OPEN,2025-12-20 01:15:18.046213,0,0
0,2025-12-20 01:16:32.502273,121858776,3
0,2025-12-20 01:16:34.942455,12184255229,4
1,2025-12-20 01:16:48.070581,121858776,3
2,2025-12-20 01:16:48.751680,12184255229,3
OPEN,2025-12-20 01:17:08.752265,0,0
0,2025-12-20 01:17:09.846011,12184255229,4
OPEN,2025-12-20 01:17:29.846434,0,0
0,2025-12-20 01:17:35.494013,12184255229,4
1,2025-12-20 01:17:36.359512,121858776,4
followerB,2025-12-20 01:17:36.361244,0,0
0,2025-12-20 01:17:39.186078,12184255229,3
1,2025-12-20 01:17:39.713861,121858776,3
OPEN,2025-12-20 01:17:59.714521,0,0
0,2025-12-20 01:18:54.621606,12184178168,3
0,2025-12-20 01:18:58.274349,12184178168,4
solo,2025-12-20 01:18:59.156423,0,0
OPEN,2025-12-20 01:19:19.157305,0,0
0,2025-12-20 01:22:29.102219,12184255229,3
0,2025-12-20 01:22:31.808934,12184255229,4
solo,2025-12-20 01:22:31.810580,0,0
OPEN,2025-12-20 01:22:51.811509,0,0
0,2025-12-20 01:28:35.704985,121856491,3
0,2025-12-20 01:28:37.230187,121856491,4
solo,2025-12-20 01:28:37.231806,0,0
OPEN,2025-12-20 01:28:57.232632,0,0
0,2025-12-20 01:29:02.596917,12184178168,4
0,2025-12-20 01:29:09.122528,12184178168,3
solo,2025-12-20 01:29:09.645052,0,0
OPEN,2025-12-20 01:29:29.645718,0,0
0,2025-12-20 01:29:31.189600,121856491,4
0,2025-12-20 01:29:33.053387,121856491,3
1,2025-12-20 01:29:40.182517,121856491,3
1,2025-12-20 01:29:41.115477,121856491,4
solo,2025-12-20 01:29:41.213615,0,0
2,2025-12-20 01:29:50.816917,12184178168,3
3,2025-12-20 01:29:53.462098,12184178168,3
2,2025-12-20 01:29:56.208405,12184178168,4
OPEN,2025-12-20 01:30:16.210462,0,0
0,2025-12-20 01:30:18.562779,12184178168,4
0,2025-12-20 01:30:20.724260,12184178168,3
1,2025-12-20 01:30:27.060621,121856491,4
followerB,2025-12-20 01:30:27.062244,0,0
1,2025-12-20 01:30:29.169339,121856491,3
OPEN,2025-12-20 01:30:49.170055,0,0
0,2025-12-20 01:31:02.635741,12184178168,3
0,2025-12-20 01:31:04.711431,12184178168,4
solo,2025-12-20 01:31:06.296372,0,0
OPEN,2025-12-20 01:31:26.297171,0,0
0,2025-12-20 01:31:35.872124,12184178168,4
0,2025-12-20 01:31:37.551008,12184178168,3
1,2025-12-20 01:31:37.887900,121856491,4
followerB,2025-12-20 01:31:37.890527,0,0
1,2025-12-20 01:31:39.138771,121856491,3
2,2025-12-20 01:31:47.810279,121856491,3
2,2025-12-20 01:31:48.848409,121856491,4
sequence,2025-12-20 01:31:48.961350,0,0
3,2025-12-20 01:31:55.444479,12184178168,3
3,2025-12-20 01:31:57.488230,12184178168,4
OPEN,2025-12-20 01:32:17.490517,0,0
0,2025-12-20 01:32:21.163389,121856491,4
0,2025-12-20 01:32:22.761517,121856491,3
1,2025-12-20 01:32:22.898544,12184178168,4
followerB,2025-12-20 01:32:22.900840,0,0
1,2025-12-20 01:32:24.401968,12184178168,3
2,2025-12-20 01:32:27.992336,121856491,4
sequence,2025-12-20 01:32:28.013987,0,0
2,2025-12-20 01:32:34.905403,12184178168,3
3,2025-12-20 01:32:36.967664,12184178168,4
OPEN,2025-12-20 01:32:56.969671,0,0
0,2025-12-20 01:33:01.367200,121856491,4
0,2025-12-20 01:33:03.071619,121856491,3
1,2025-12-20 01:33:05.109356,12184178168,4
followerB,2025-12-20 01:33:05.111036,0,0
sequence,2025-12-20 01:33:05.966856,0,0
1,2025-12-20 01:33:08.476077,12184178168,3
2,2025-12-20 01:33:14.372600,121856491,3
2,2025-12-20 01:33:15.544186,121856491,4
OPEN,2025-12-20 01:33:35.546743,0,0
0,2025-12-20 01:33:37.843052,121856491,4
0,2025-12-20 01:33:39.063186,121856491,3
1,2025-12-20 01:33:42.937885,121856491,3
1,2025-12-20 01:33:43.933907,121856491,4
solo,2025-12-20 01:33:44.024425,0,0
OPEN,2025-12-20 01:34:04.025048,0,0
0,2025-12-20 01:34:10.319614,12184178168,4
1,2025-12-20 01:34:11.106593,121856491,4
followerB,2025-12-20 01:34:11.108260,0,0
0,2025-12-20 01:34:11.431509,12184178168,3
1,2025-12-20 01:34:12.750057,121856491,3
2,2025-12-20 01:34:17.311324,121856491,3
2,2025-12-20 01:34:18.727126,121856491,4
sequence,2025-12-20 01:34:18.948851,0,0
3,2025-12-20 01:34:24.671546,12184178168,3
4,2025-12-20 01:34:29.373634,12184178168,3
