Mode,Start_Time,Animal,Unit
0,2026-03-14 00:00:24.836971,12184200210,4
0,2026-03-14 00:00:27.424448,12184200210,3
solo,2026-03-14 00:00:27.440493,0,0
OPEN,2026-03-14 00:00:47.441113,0,0
0,2026-03-14 00:06:21.473286,12184200210,3
0,2026-03-14 00:06:23.237407,12184200210,4
solo,2026-03-14 00:06:23.698456,0,0
OPEN,2026-03-14 00:06:43.699426,0,0
0,2026-03-14 00:08:09.976900,121833261,4
0,2026-03-14 00:08:12.695528,121833261,3
solo,2026-03-14 00:08:12.708161,0,0
OPEN,2026-03-14 00:08:32.709454,0,0
0,2026-03-14 00:08:44.545940,12186105113,3
0,2026-03-14 00:08:46.757573,12186105113,4
OPEN,2026-03-14 00:09:06.758080,0,0
0,2026-03-14 00:10:22.123139,12183187166,4
0,2026-03-14 00:10:27.991862,12183187166,3
solo,2026-03-14 00:10:28.916080,0,0
OPEN,2026-03-14 00:10:48.916696,0,0
0,2026-03-14 00:17:09.180608,12184110116,4
0,2026-03-14 00:17:10.860094,12184110116,3
solo,2026-03-14 00:17:10.872376,0,0
OPEN,2026-03-14 00:17:30.873077,0,0
0,2026-03-14 00:17:51.009421,12183187166,3
0,2026-03-14 00:17:58.670734,12183187166,4
solo,2026-03-14 00:18:00.747659,0,0
OPEN,2026-03-14 00:18:20.748401,0,0
0,2026-03-14 00:18:43.907131,121833261,3
0,2026-03-14 00:18:46.846566,121833261,4
solo,2026-03-14 00:18:46.928400,0,0
OPEN,2026-03-14 00:19:06.929001,0,0
0,2026-03-14 00:19:08.175476,12184110116,3
0,2026-03-14 00:19:09.518814,12184110116,4
solo,2026-03-14 00:19:09.652538,0,0
OPEN,2026-03-14 00:19:29.653337,0,0
0,2026-03-14 00:24:25.973768,12183187166,4
0,2026-03-14 00:24:29.641874,12183187166,3
solo,2026-03-14 00:24:29.664076,0,0
OPEN,2026-03-14 00:24:49.664682,0,0
0,2026-03-14 00:31:49.756905,121833261,4
0,2026-03-14 00:31:53.100471,121833261,3
solo,2026-03-14 00:31:53.107046,0,0
OPEN,2026-03-14 00:32:13.107853,0,0
0,2026-03-14 00:32:23.467689,12183187166,3
0,2026-03-14 00:32:25.810591,12183187166,4
OPEN,2026-03-14 00:32:45.811168,0,0
0,2026-03-14 00:42:16.368451,121833261,3
0,2026-03-14 00:42:18.611187,121833261,4
solo,2026-03-14 00:42:19.058355,0,0
OPEN,2026-03-14 00:42:39.059819,0,0
0,2026-03-14 00:54:37.823535,121833261,4
0,2026-03-14 00:54:41.007853,121833261,3
solo,2026-03-14 00:54:41.016376,0,0
OPEN,2026-03-14 00:55:01.017235,0,0
0,2026-03-14 01:08:37.234216,121833261,3
0,2026-03-14 01:08:39.592034,121833261,4
solo,2026-03-14 01:08:40.167938,0,0
OPEN,2026-03-14 01:09:00.168601,0,0
0,2026-03-14 01:19:43.866078,121833261,4
0,2026-03-14 01:19:46.224250,121833261,3
solo,2026-03-14 01:19:46.247900,0,0
OPEN,2026-03-14 01:20:06.248452,0,0
0,2026-03-14 01:30:39.564586,12184110116,4
0,2026-03-14 01:30:41.119140,12184110116,3
solo,2026-03-14 01:30:41.136780,0,0
OPEN,2026-03-14 01:31:01.137880,0,0
0,2026-03-14 01:31:34.989321,12184110116,3
0,2026-03-14 01:31:36.262827,12184110116,4
OPEN,2026-03-14 01:31:56.263031,0,0
0,2026-03-14 01:34:30.677481,12184200210,4
0,2026-03-14 01:34:33.815703,12184200210,3
solo,2026-03-14 01:34:34.719251,0,0
OPEN,2026-03-14 01:34:54.719892,0,0
0,2026-03-14 01:39:03.124282,12184110116,4
0,2026-03-14 01:39:04.200214,12184110116,3
solo,2026-03-14 01:39:04.220762,0,0
OPEN,2026-03-14 01:39:24.221366,0,0
0,2026-03-14 01:39:30.763718,121833261,3
