19.5,19.5,20.32,19.12,20.48,19.32,18.57,19.5,19.5
19.5,19.5,21.0,18.99,20.4,20.37,15.59,19.5,19.5
19.5,19.5,20.82,19.04,20.54,19.95,18.51,19.5,19.5
19.5,19.5,20.92,19.1,18.93,19.71,18.61,19.5,19.5
19.5,19.5,20.84,18.6,20.7,20.41,18.01,19.5,19.5
19.5,19.5,20.66,19.08,20.61,18.31,18.75,19.5,19.5
19.5,19.5,20.7,18.81,20.52,20.58,18.34,19.5,19.5
19.5,19.5,20.84,18.82,20.82,19.98,18.19,19.5,19.5
19.5,19.5,20.89,18.86,20.38,20.02,18.49,19.5,19.5
19.5,19.5,21.04,18.97,20.67,20.17,18.26,19.5,19.5
19.5,19.5,20.98,19.02,20.44,19.97,18.39,19.5,19.5
19.5,19.5,21.42,18.39,20.62,20.05,18.28,19.5,19.5
19.5,19.5,20.99,18.95,20.63,20.11,18.71,19.5,19.5
19.5,19.5,21.19,18.95,20.39,20.06,18.64,19.5,19.5
19.5,19.5,21.25,18.54,20.95,20.09,18.73,19.5,19.5
