Mode,Start_Time,Animal,Weight,Unit
999,2026-06-28 02:07:11.158543,1102000232,999,1
4,2026-06-28 02:07:11.163914,121859271,0,1
OPEN,2026-06-28 02:07:51.166578,0,0
1,2026-06-28 02:15:35.614243,121859271,0,1
sequence,2026-06-28 02:15:36.628874,0,0
1,2026-06-28 02:15:35.614243,121859271,21.88,1
2,2026-06-28 02:16:17.434614,121859271,0,1
OPEN,2026-06-28 02:16:57.437585,0,0
1,2026-06-28 02:25:29.340116,121859271,0,1
sequence,2026-06-28 02:25:30.350798,0,0
1,2026-06-28 02:25:29.340116,121859271,22.15,1
2,2026-06-28 02:26:24.267503,121859271,0,1
OPEN,2026-06-28 02:27:04.270181,0,0
1,2026-06-28 02:44:24.181519,12186133157,0,1
sequence,2026-06-28 02:44:26.403481,0,0
1,2026-06-28 02:44:24.181519,12186133157,22.119999999999997,1
2,2026-06-28 02:44:56.147735,12186133157,0,1
OPEN,2026-06-28 02:45:36.150608,0,0
1,2026-06-28 02:53:50.368403,121836132,0,2
1,2026-06-28 02:53:50.368403,121836132,30.455,2
OPEN,2026-06-28 02:54:30.369096,0,0
1,2026-06-28 02:58:04.958739,121836132,0,2
2,2026-06-28 02:58:07.186899,1218496122,0,2
3,2026-06-28 02:58:07.797820,121836132,0,2
3,2026-06-28 02:58:07.797820,121836132,38.655,2
4,2026-06-28 02:58:16.882869,121836132,0,2
5,2026-06-28 02:58:28.741601,121836132,0,2
6,2026-06-28 02:58:31.682172,121836132,0,2
OPEN,2026-06-28 02:58:44.959333,0,0
1,2026-06-28 02:58:46.317696,121836132,0,2
1,2026-06-28 02:58:46.317696,121836132,21.25,2
OPEN,2026-06-28 02:59:26.318428,0,0
1,2026-06-28 04:25:57.210059,121839170,0,1
sequence,2026-06-28 04:25:57.414649,0,0
1,2026-06-28 04:25:57.210059,121839170,22.655,1
2,2026-06-28 04:27:35.022601,121839170,0,1
OPEN,2026-06-28 04:28:15.025401,0,0
1,2026-06-28 04:32:45.127912,121839170,0,1
sequence,2026-06-28 04:32:45.332451,0,0
1,2026-06-28 04:32:45.127912,121839170,15.86,1
2,2026-06-28 04:33:00.882946,121839170,0,1
3,2026-06-28 04:33:02.873546,121839170,0,1
OPEN,2026-06-28 04:33:42.876521,0,0
1,2026-06-28 04:34:00.716010,12186133157,0,1
sequence,2026-06-28 04:34:02.336522,0,0
1,2026-06-28 04:34:00.716010,12186133157,22.314999999999998,1
2,2026-06-28 04:34:30.053806,12186133157,0,1
3,2026-06-28 04:34:38.276236,12186133157,0,1
4,2026-06-28 04:34:43.142122,12186133157,0,1
OPEN,2026-06-28 04:35:23.145246,0,0
1,2026-06-28 04:41:58.931350,121839170,0,1
sequence,2026-06-28 04:41:59.134750,0,0
1,2026-06-28 04:41:58.931350,121839170,15.850000000000001,1
2,2026-06-28 04:42:25.553986,121839170,0,1
3,2026-06-28 04:42:30.337948,121839170,0,1
OPEN,2026-06-28 04:43:10.340346,0,0
1,2026-06-28 04:48:36.190475,12186133157,0,1
sequence,2026-06-28 04:48:36.999691,0,0
1,2026-06-28 04:48:36.190475,12186133157,19.175,1
999,2026-06-28 04:49:21.596169,1102000232,999,1
2,2026-06-28 04:49:21.600886,12186133157,0,1
OPEN,2026-06-28 04:50:01.603275,0,0
1,2026-06-28 04:53:40.691224,121836132,0,2
1,2026-06-28 04:53:40.691224,121836132,39.925,2
OPEN,2026-06-28 04:54:20.691778,0,0
1,2026-06-28 04:56:16.214794,121839170,0,1
sequence,2026-06-28 04:56:16.418350,0,0
1,2026-06-28 04:56:16.214794,121839170,17.83,1
2,2026-06-28 04:56:43.987426,121839170,0,1
OPEN,2026-06-28 04:57:23.990164,0,0
1,2026-06-28 05:03:36.981197,12186133157,0,1
sequence,2026-06-28 05:03:37.790589,0,0
1,2026-06-28 05:03:36.981197,12186133157,18.89,1
2,2026-06-28 05:04:05.432531,12186133157,0,1
3,2026-06-28 05:07:08.111178,12186133157,0,1
OPEN,2026-06-28 05:07:48.114122,0,0
1,2026-06-28 05:49:13.333796,121836132,0,2
1,2026-06-28 05:49:13.333796,121836132,24.665,2
OPEN,2026-06-28 05:49:53.334537,0,0
999,2026-06-28 05:52:43.688840,1102000232,999,2
1,2026-06-28 05:52:43.694254,121836132,0,2
1,2026-06-28 05:52:43.694254,121836132,27.83,2
OPEN,2026-06-28 05:53:23.694919,0,0
1,2026-06-28 05:57:24.184707,121836132,0,2
1,2026-06-28 05:57:24.184707,121836132,19.75,2
OPEN,2026-06-28 05:58:04.185473,0,0
1,2026-06-28 06:09:34.486074,121836132,0,2
1,2026-06-28 06:09:34.486074,121836132,29.095,2
OPEN,2026-06-28 06:10:14.486673,0,0
1,2026-06-28 06:10:41.685549,121836132,0,2
1,2026-06-28 06:10:41.685549,121836132,32.71,2
OPEN,2026-06-28 06:11:21.686275,0,0
1,2026-06-28 06:33:57.559914,1218496122,0,2
1,2026-06-28 06:33:57.559914,1218496122,41.985,2
2,2026-06-28 06:34:02.595408,121836132,0,2
OPEN,2026-06-28 06:34:37.560541,0,0
