Mode,Start_Time,Animal,Weight,Unit
1,2026-06-10 00:46:09.369466,12186133157,0,1
1,2026-06-10 00:46:09.369466,12186133157,22.46,1
1,2026-06-10 00:46:22.298372,12186133157,0,2
solo,2026-06-10 00:46:22.503070,0,0
1,2026-06-10 00:46:22.298372,12186133157,22.55,2
OPEN,2026-06-10 00:47:02.503745,0,0
1,2026-06-10 00:53:21.123889,1218496122,0,1
1,2026-06-10 00:53:21.123889,1218496122,22.924999999999997,1
1,2026-06-10 00:53:29.294338,1218496122,0,2
1,2026-06-10 00:53:29.294338,1218496122,22.83,2
OPEN,2026-06-10 00:54:09.295030,0,0
1,2026-06-10 00:54:18.422809,12186133157,0,2
1,2026-06-10 00:54:18.422809,12186133157,22.62,2
1,2026-06-10 00:54:32.051957,12186133157,0,1
1,2026-06-10 00:54:32.051957,12186133157,16.13,1
OPEN,2026-06-10 00:55:12.052667,0,0
1,2026-06-10 00:55:39.381308,1218496122,0,2
1,2026-06-10 00:55:42.418300,1218496122,0,1
1,2026-06-10 00:55:39.381308,1218496122,22.715,2
1,2026-06-10 00:55:42.418300,1218496122,20.04,1
solo,2026-06-10 00:55:47.513153,0,0
OPEN,2026-06-10 00:56:27.514023,0,0
1,2026-06-10 01:07:59.462110,121836132,0,1
1,2026-06-10 01:07:59.462110,121836132,23.314999999999998,1
1,2026-06-10 01:08:09.129212,121836132,0,2
1,2026-06-10 01:08:09.129212,121836132,13.28,2
OPEN,2026-06-10 01:08:49.129834,0,0
1,2026-06-10 01:09:43.676756,121836132,0,2
1,2026-06-10 01:09:47.321967,121836132,0,1
1,2026-06-10 01:09:43.676756,121836132,22.545,2
1,2026-06-10 01:09:47.321967,121836132,12.26,1
solo,2026-06-10 01:09:51.889955,0,0
OPEN,2026-06-10 01:10:31.890579,0,0
1,2026-06-10 02:26:23.116710,121859271,0,1
1,2026-06-10 02:26:23.116710,121859271,23.299999999999997,1
1,2026-06-10 02:26:31.486183,121859271,0,2
1,2026-06-10 02:26:31.486183,121859271,22.89,2
OPEN,2026-06-10 02:27:11.486824,0,0
1,2026-06-10 02:41:16.915319,121859271,0,2
1,2026-06-10 02:41:16.915319,121859271,22.9,2
1,2026-06-10 02:41:27.237373,121859271,0,1
1,2026-06-10 02:41:27.237373,121859271,23.09,1
solo,2026-06-10 02:41:31.329624,0,0
OPEN,2026-06-10 02:42:11.330430,0,0
1,2026-06-10 03:37:29.467741,1218496122,0,1
1,2026-06-10 03:37:29.467741,1218496122,21.96,1
1,2026-06-10 03:37:34.240109,1218496122,0,2
1,2026-06-10 03:37:34.240109,1218496122,19.15,2
OPEN,2026-06-10 03:38:14.240787,0,0
1,2026-06-10 03:43:52.865259,1218496122,0,2
1,2026-06-10 03:43:52.865259,1218496122,22.63,2
1,2026-06-10 03:43:56.960703,1218496122,0,1
solo,2026-06-10 03:43:57.769847,0,0
1,2026-06-10 03:43:56.960703,1218496122,23.19,1
OPEN,2026-06-10 03:44:37.770487,0,0
1,2026-06-10 03:50:47.514832,1218496122,0,1
1,2026-06-10 03:50:47.514832,1218496122,22.95,1
999,2026-06-10 03:50:59.044257,1102000232,999,2
1,2026-06-10 03:50:59.050335,1218496122,0,2
1,2026-06-10 03:50:59.050335,1218496122,16.85,2
OPEN,2026-06-10 03:51:39.050999,0,0
1,2026-06-10 03:52:58.008511,12186133157,0,1
1,2026-06-10 03:52:58.008511,12186133157,22.5,1
1,2026-06-10 03:53:07.405136,12186133157,0,2
1,2026-06-10 03:53:07.405136,12186133157,20.04,2
OPEN,2026-06-10 03:53:47.405763,0,0
1,2026-06-10 03:54:38.069880,1218496122,0,2
1,2026-06-10 03:54:40.702933,1218496122,0,1
1,2026-06-10 03:54:38.069880,1218496122,22.89,2
1,2026-06-10 03:54:40.702933,1218496122,20.134999999999998,1
solo,2026-06-10 03:54:46.194531,0,0
OPEN,2026-06-10 03:55:26.195230,0,0
1,2026-06-10 03:55:48.356033,121839170,0,1
1,2026-06-10 03:55:48.356033,121839170,24.634999999999998,1
1,2026-06-10 03:55:57.598332,121839170,0,2
1,2026-06-10 03:55:57.598332,121839170,23.94,2
OPEN,2026-06-10 03:56:37.599023,0,0
1,2026-06-10 03:59:13.672021,12186133157,0,2
1,2026-06-10 03:59:13.672021,12186133157,13.69,2
1,2026-06-10 03:59:24.495765,12186133157,0,1
1,2026-06-10 03:59:24.495765,12186133157,22.42,1
solo,2026-06-10 03:59:28.592262,0,0
OPEN,2026-06-10 04:00:08.593092,0,0
1,2026-06-10 04:04:33.069088,121839170,0,2
1,2026-06-10 04:04:37.129568,121839170,0,1
1,2026-06-10 04:04:33.069088,121839170,24.85,2
1,2026-06-10 04:04:37.129568,121839170,16.6,1
OPEN,2026-06-10 04:05:17.130339,0,0
1,2026-06-10 04:05:30.090786,121836132,0,1
1,2026-06-10 04:05:30.090786,121836132,21.94,1
1,2026-06-10 04:05:37.351120,121836132,0,2
solo,2026-06-10 04:05:37.558604,0,0
1,2026-06-10 04:05:37.351120,121836132,16.11,2
OPEN,2026-06-10 04:06:17.559402,0,0
1,2026-06-10 04:11:41.794544,121836132,0,2
1,2026-06-10 04:11:41.794544,121836132,22.035,2
999,2026-06-10 04:11:47.881164,1102000232,999,1
1,2026-06-10 04:11:47.888437,121836132,0,1
1,2026-06-10 04:11:47.888437,121836132,19.825000000000003,1
OPEN,2026-06-10 04:12:27.888744,0,0
1,2026-06-10 06:34:18.043087,121836132,0,1
1,2026-06-10 06:34:18.043087,121836132,21.84,1
1,2026-06-10 06:34:25.646964,121836132,0,2
1,2026-06-10 06:34:25.646964,121836132,18.665,2
OPEN,2026-06-10 06:35:05.652463,0,0
1,2026-06-10 06:39:36.851247,121836132,0,2
1,2026-06-10 06:39:36.851247,121836132,21.8,2
1,2026-06-10 06:39:48.200109,121836132,0,1
solo,2026-06-10 06:39:49.009159,0,0
1,2026-06-10 06:39:48.200109,121836132,21.76,1
OPEN,2026-06-10 06:40:29.009811,0,0
1,2026-06-10 06:42:36.188369,121839170,0,1
1,2026-06-10 06:42:36.188369,121839170,24.285,1
1,2026-06-10 06:42:45.035450,121839170,0,2
1,2026-06-10 06:42:45.035450,121839170,21.705,2
OPEN,2026-06-10 06:43:25.036082,0,0
1,2026-06-10 06:49:31.350455,121839170,0,2
1,2026-06-10 06:49:35.399313,121839170,0,1
1,2026-06-10 06:49:31.350455,121839170,18.3,2
solo,2026-06-10 06:49:36.011551,0,0
1,2026-06-10 06:49:35.399313,121839170,24.17,1
OPEN,2026-06-10 06:50:16.012368,0,0
1,2026-06-10 06:51:47.261608,1218496122,0,1
1,2026-06-10 06:51:47.261608,1218496122,22.71,1
1,2026-06-10 06:51:54.050941,1218496122,0,2
1,2026-06-10 06:51:54.050941,1218496122,17.330000000000002,2
OPEN,2026-06-10 06:52:34.051608,0,0
1,2026-06-10 06:55:06.434261,12186133157,0,1
1,2026-06-10 06:55:06.434261,12186133157,22.28,1
1,2026-06-10 06:55:13.462738,12186133157,0,2
1,2026-06-10 06:55:13.462738,12186133157,22.35,2
2,2026-06-10 06:55:36.038132,1218496122,0,2
sequence,2026-06-10 06:55:39.893308,0,0
2,2026-06-10 06:55:40.193128,1218496122,0,1
OPEN,2026-06-10 06:56:20.196230,0,0
1,2026-06-10 07:00:55.944060,12186133157,0,2
1,2026-06-10 07:00:55.944060,12186133157,16.545,2
1,2026-06-10 07:01:02.167986,12186133157,0,1
1,2026-06-10 07:01:02.167986,12186133157,22.13,1
