Mode,Start_Time,Animal,Weight,Unit
1,2026-07-02 00:46:22.190397,121859271,0,1
sequence,2026-07-02 00:46:22.394469,0,0
1,2026-07-02 00:46:22.190397,121859271,13.38,1
1,2026-07-02 00:46:30.249203,121859271,0,2
1,2026-07-02 00:46:30.249203,121859271,19.9,2
OPEN,2026-07-02 00:47:10.251827,0,0
1,2026-07-02 00:50:04.433788,121859271,0,2
1,2026-07-02 00:50:04.433788,121859271,25.38,2
1,2026-07-02 00:50:13.668413,121859271,0,1
solo,2026-07-02 00:50:13.872792,0,0
1,2026-07-02 00:50:13.668413,121859271,25.195,1
OPEN,2026-07-02 00:50:53.873523,0,0
1,2026-07-02 01:05:46.378710,121836132,0,1
sequence,2026-07-02 01:05:46.986010,0,0
1,2026-07-02 01:05:46.378710,121836132,16.485,1
1,2026-07-02 01:05:52.996988,121836132,0,2
1,2026-07-02 01:05:52.996988,121836132,19.134999999999998,2
OPEN,2026-07-02 01:06:32.999679,0,0
1,2026-07-02 01:14:07.346493,121836132,0,2
1,2026-07-02 01:14:07.346493,121836132,22.535,2
1,2026-07-02 01:14:15.673812,121836132,0,1
solo,2026-07-02 01:14:15.878483,0,0
1,2026-07-02 01:14:15.673812,121836132,21.985,1
OPEN,2026-07-02 01:14:55.879313,0,0
1,2026-07-02 01:58:06.759710,1218496122,0,1
sequence,2026-07-02 01:58:07.368253,0,0
1,2026-07-02 01:58:06.759710,1218496122,17.32,1
1,2026-07-02 01:58:11.044496,1218496122,0,2
1,2026-07-02 01:58:11.044496,1218496122,18.21,2
OPEN,2026-07-02 01:58:51.047147,0,0
1,2026-07-02 02:02:13.853578,1218496122,0,2
1,2026-07-02 02:02:13.853578,1218496122,23.35,2
1,2026-07-02 02:02:22.268543,1218496122,0,1
solo,2026-07-02 02:02:22.472510,0,0
1,2026-07-02 02:02:22.268543,1218496122,23.095,1
OPEN,2026-07-02 02:03:02.473231,0,0
1,2026-07-02 02:03:14.062053,12186133157,0,1
sequence,2026-07-02 02:03:15.073254,0,0
1,2026-07-02 02:03:14.062053,12186133157,23.335,1
1,2026-07-02 02:03:22.462160,12186133157,0,2
1,2026-07-02 02:03:22.462160,12186133157,23.445,2
OPEN,2026-07-02 02:04:02.464702,0,0
1,2026-07-02 02:09:54.670907,12186133157,0,2
1,2026-07-02 02:09:54.670907,12186133157,24.89,2
1,2026-07-02 02:10:03.507971,12186133157,0,1
solo,2026-07-02 02:10:03.712238,0,0
1,2026-07-02 02:10:03.507971,12186133157,24.445,1
OPEN,2026-07-02 02:10:43.713131,0,0
1,2026-07-02 03:08:28.670433,121839170,0,1
sequence,2026-07-02 03:08:28.874959,0,0
1,2026-07-02 03:08:28.670433,121839170,18.105,1
1,2026-07-02 03:08:57.757266,121839170,0,2
1,2026-07-02 03:08:57.757266,121839170,0,2
OPEN,2026-07-02 03:09:37.759819,0,0
1,2026-07-02 03:09:40.218267,121859271,0,1
sequence,2026-07-02 03:09:40.422484,0,0
1,2026-07-02 03:09:40.218267,121859271,23.04,1
1,2026-07-02 03:09:47.242912,121859271,0,2
1,2026-07-02 03:09:47.242912,121859271,23.54,2
OPEN,2026-07-02 03:10:27.245885,0,0
1,2026-07-02 03:13:21.519237,1218496122,0,1
sequence,2026-07-02 03:13:22.127740,0,0
1,2026-07-02 03:13:25.365860,1218496122,0,2
1,2026-07-02 03:13:21.519237,1218496122,23.555,1
1,2026-07-02 03:13:25.365860,1218496122,15.345,2
OPEN,2026-07-02 03:14:05.369563,0,0
1,2026-07-02 03:17:56.133048,121859271,0,2
1,2026-07-02 03:17:56.133048,121859271,24.950000000000003,2
1,2026-07-02 03:18:04.455558,121859271,0,1
solo,2026-07-02 03:18:04.659995,0,0
1,2026-07-02 03:18:04.455558,121859271,24.555,1
OPEN,2026-07-02 03:18:44.660807,0,0
1,2026-07-02 03:18:45.707952,121836132,0,2
1,2026-07-02 03:18:45.707952,121836132,18.265,2
2,2026-07-02 03:18:58.772277,1218496122,0,2
1,2026-07-02 03:19:02.655247,1218496122,0,1
sequence,2026-07-02 03:19:02.858728,0,0
1,2026-07-02 03:19:02.655247,1218496122,22.3,1
OPEN,2026-07-02 03:19:42.860842,0,0
1,2026-07-02 03:20:41.166667,12186133157,0,1
sequence,2026-07-02 03:20:41.975477,0,0
1,2026-07-02 03:20:41.166667,12186133157,22.13,1
1,2026-07-02 03:20:47.137686,12186133157,0,2
1,2026-07-02 03:20:47.137686,12186133157,20.38,2
2,2026-07-02 03:20:57.036693,121839170,0,2
2,2026-07-02 03:21:03.153898,121839170,0,1
OPEN,2026-07-02 03:21:43.157456,0,0
1,2026-07-02 03:26:18.954548,12186133157,0,2
1,2026-07-02 03:26:18.954548,12186133157,25.205,2
999,2026-07-02 03:26:27.819017,1102000232,999,1
1,2026-07-02 03:26:27.823881,12186133157,0,1
solo,2026-07-02 03:26:28.027612,0,0
1,2026-07-02 03:26:27.823881,12186133157,24.52,1
OPEN,2026-07-02 03:27:08.028367,0,0
1,2026-07-02 03:28:37.706514,121836132,0,2
1,2026-07-02 03:28:37.706514,121836132,22.26,2
1,2026-07-02 03:28:46.354985,121836132,0,1
solo,2026-07-02 03:28:46.559599,0,0
1,2026-07-02 03:28:46.354985,121836132,21.83,1
OPEN,2026-07-02 03:29:26.560441,0,0
1,2026-07-02 05:02:49.043130,121836132,0,1
sequence,2026-07-02 05:02:49.450479,0,0
1,2026-07-02 05:02:49.043130,121836132,19.49,1
1,2026-07-02 05:02:54.593197,121836132,0,2
1,2026-07-02 05:02:54.593197,121836132,21.61,2
OPEN,2026-07-02 05:03:34.595754,0,0
999,2026-07-02 05:03:38.500410,1102000232,999,2
1,2026-07-02 05:03:38.505441,121859271,0,2
1,2026-07-02 05:03:38.505441,121859271,22.89,2
OPEN,2026-07-02 05:04:18.505949,0,0
1,2026-07-02 05:10:58.698357,12186133157,0,1
sequence,2026-07-02 05:10:59.909963,0,0
1,2026-07-02 05:10:58.698357,12186133157,24.57,1
1,2026-07-02 05:11:04.972072,12186133157,0,2
1,2026-07-02 05:11:04.972072,12186133157,21.41,2
