Mode,Start_Time,Animal,Weight,Unit
1,2026-06-03 00:21:42.627735,121859271,0,2
1,2026-06-03 00:21:42.627735,121859271,21.55,2
OPEN,2026-06-03 00:22:25.494570,0,0
1,2026-06-03 00:24:54.948161,121859271,0,1
1,2026-06-03 00:24:54.948161,121859271,23.03,1
OPEN,2026-06-03 00:26:09.873848,0,0
1,2026-06-03 00:30:18.560445,121859271,0,2
1,2026-06-03 00:30:18.560445,121859271,23.38,2
1,2026-06-03 00:30:33.772081,121859271,0,1
solo,2026-06-03 00:30:33.976505,0,0
1,2026-06-03 00:30:33.772081,121859271,22.994999999999997,1
OPEN,2026-06-03 00:31:13.977094,0,0
1,2026-06-03 00:36:37.779667,121859271,0,1
1,2026-06-03 00:36:37.779667,121859271,23.41,1
OPEN,2026-06-03 00:37:26.817490,0,0
1,2026-06-03 00:42:24.340264,121859271,0,2
1,2026-06-03 00:42:24.340264,121859271,23.395000000000003,2
1,2026-06-03 00:42:35.985965,121859271,0,1
solo,2026-06-03 00:42:36.189930,0,0
1,2026-06-03 00:42:35.985965,121859271,22.83,1
OPEN,2026-06-03 00:43:16.190749,0,0
1,2026-06-03 00:49:32.006541,1218496122,0,1
1,2026-06-03 00:49:32.006541,1218496122,25.064999999999998,1
1,2026-06-03 00:49:39.513100,1218496122,0,2
solo,2026-06-03 00:49:39.716827,0,0
1,2026-06-03 00:49:39.513100,1218496122,25.07,2
OPEN,2026-06-03 00:50:19.717928,0,0
1,2026-06-03 00:50:45.569498,121836132,0,1
1,2026-06-03 00:50:45.569498,121836132,23.009999999999998,1
1,2026-06-03 00:50:54.682258,121836132,0,2
solo,2026-06-03 00:50:54.886539,0,0
1,2026-06-03 00:50:54.682258,121836132,22.7,2
OPEN,2026-06-03 00:51:34.887342,0,0
1,2026-06-03 00:55:45.781944,121836132,0,2
1,2026-06-03 00:55:45.781944,121836132,23.0,2
1,2026-06-03 00:55:53.882811,121836132,0,1
solo,2026-06-03 00:55:54.087251,0,0
2,2026-06-03 00:55:55.710139,121836132,0,1
2,2026-06-03 00:55:55.710139,121836132,22.42,1
OPEN,2026-06-03 00:56:35.712600,0,0
1,2026-06-03 00:56:58.396665,12186133157,0,1
1,2026-06-03 00:56:58.396665,12186133157,23.145,1
1,2026-06-03 00:57:05.822722,12186133157,0,2
solo,2026-06-03 00:57:06.028596,0,0
1,2026-06-03 00:57:05.822722,12186133157,22.525,2
OPEN,2026-06-03 00:57:46.029539,0,0
1,2026-06-03 00:57:52.125235,1218496122,0,2
1,2026-06-03 00:57:52.125235,1218496122,25.775,2
1,2026-06-03 00:58:01.106083,1218496122,0,1
solo,2026-06-03 00:58:01.309683,0,0
1,2026-06-03 00:58:01.106083,1218496122,24.98,1
OPEN,2026-06-03 00:58:41.310505,0,0
1,2026-06-03 01:01:06.879835,12186133157,0,2
1,2026-06-03 01:01:06.879835,12186133157,23.58,2
1,2026-06-03 01:01:14.966181,12186133157,0,1
solo,2026-06-03 01:01:15.169948,0,0
1,2026-06-03 01:01:14.966181,12186133157,22.755,1
OPEN,2026-06-03 01:01:55.170680,0,0
1,2026-06-03 01:29:11.737039,121839170,0,1
1,2026-06-03 01:29:11.737039,121839170,24.380000000000003,1
1,2026-06-03 01:29:21.396433,121839170,0,2
solo,2026-06-03 01:29:21.600370,0,0
1,2026-06-03 01:29:21.396433,121839170,24.005000000000003,2
OPEN,2026-06-03 01:30:01.601145,0,0
1,2026-06-03 01:36:20.851392,121839170,0,2
1,2026-06-03 01:36:20.851392,121839170,24.96,2
1,2026-06-03 01:36:29.432160,121839170,0,1
solo,2026-06-03 01:36:29.636361,0,0
1,2026-06-03 01:36:29.432160,121839170,24.18,1
OPEN,2026-06-03 01:37:09.637169,0,0
1,2026-06-03 02:54:05.103061,12186133157,0,1
1,2026-06-03 02:54:05.103061,12186133157,22.935,1
1,2026-06-03 02:54:14.081306,12186133157,0,2
solo,2026-06-03 02:54:14.285545,0,0
1,2026-06-03 02:54:14.081306,12186133157,0,2
2,2026-06-03 02:54:18.996757,12186133157,0,2
OPEN,2026-06-03 02:54:58.999665,0,0
1,2026-06-03 02:59:31.261387,12186133157,0,2
1,2026-06-03 02:59:31.261387,12186133157,22.58,2
1,2026-06-03 02:59:37.558460,12186133157,0,1
solo,2026-06-03 02:59:37.762618,0,0
1,2026-06-03 02:59:37.558460,12186133157,22.29,1
OPEN,2026-06-03 03:00:17.763612,0,0
1,2026-06-03 03:00:59.712600,121836132,0,1
1,2026-06-03 03:00:59.712600,121836132,22.25,1
1,2026-06-03 03:01:07.486458,121836132,0,2
solo,2026-06-03 03:01:07.690797,0,0
1,2026-06-03 03:01:07.486458,121836132,21.53,2
OPEN,2026-06-03 03:01:47.691432,0,0
1,2026-06-03 03:04:41.811319,121836132,0,2
1,2026-06-03 03:04:41.811319,121836132,22.84,2
1,2026-06-03 03:04:50.012834,121836132,0,1
solo,2026-06-03 03:04:50.217020,0,0
1,2026-06-03 03:04:50.012834,121836132,22.025,1
OPEN,2026-06-03 03:05:30.217815,0,0
1,2026-06-03 03:13:38.423506,12186133157,0,1
1,2026-06-03 03:13:38.423506,12186133157,22.45,1
1,2026-06-03 03:13:46.073269,12186133157,0,2
solo,2026-06-03 03:13:46.277768,0,0
1,2026-06-03 03:13:46.073269,12186133157,22.595,2
OPEN,2026-06-03 03:14:26.278548,0,0
1,2026-06-03 03:18:18.969395,12186133157,0,2
1,2026-06-03 03:18:18.969395,12186133157,22.765,2
1,2026-06-03 03:18:30.819279,12186133157,0,1
solo,2026-06-03 03:18:31.024148,0,0
1,2026-06-03 03:18:30.819279,12186133157,22.65,1
OPEN,2026-06-03 03:19:11.025059,0,0
1,2026-06-03 03:22:44.782944,1218496122,0,1
1,2026-06-03 03:22:44.782944,1218496122,25.3,1
1,2026-06-03 03:22:52.510996,1218496122,0,2
solo,2026-06-03 03:22:52.714414,0,0
1,2026-06-03 03:22:52.510996,1218496122,24.99,2
OPEN,2026-06-03 03:23:32.715099,0,0
1,2026-06-03 03:25:05.858275,12186133157,0,1
1,2026-06-03 03:25:05.858275,12186133157,22.375,1
1,2026-06-03 03:25:13.385627,12186133157,0,2
solo,2026-06-03 03:25:13.589908,0,0
1,2026-06-03 03:25:13.385627,12186133157,22.6,2
OPEN,2026-06-03 03:25:53.590696,0,0
1,2026-06-03 03:29:55.699379,1218496122,0,2
1,2026-06-03 03:29:55.699379,1218496122,25.244999999999997,2
1,2026-06-03 03:30:04.214635,1218496122,0,1
solo,2026-06-03 03:30:04.420185,0,0
1,2026-06-03 03:30:04.214635,1218496122,24.1,1
OPEN,2026-06-03 03:30:44.420937,0,0
1,2026-06-03 03:31:48.055457,121859271,0,1
1,2026-06-03 03:31:48.055457,121859271,23.2,1
OPEN,2026-06-03 03:32:32.442360,0,0
1,2026-06-03 03:32:35.422374,121839170,0,1
1,2026-06-03 03:32:35.422374,121839170,24.18,1
1,2026-06-03 03:32:45.058848,121839170,0,2
solo,2026-06-03 03:32:45.263700,0,0
1,2026-06-03 03:32:45.058848,121839170,25.064999999999998,2
OPEN,2026-06-03 03:33:25.264333,0,0
1,2026-06-03 03:34:36.645268,12186133157,0,2
1,2026-06-03 03:34:36.645268,12186133157,24.465,2
1,2026-06-03 03:34:57.293712,12186133157,0,1
solo,2026-06-03 03:34:57.497956,0,0
1,2026-06-03 03:34:57.293712,12186133157,22.57,1
OPEN,2026-06-03 03:35:37.498760,0,0
1,2026-06-03 03:36:56.387223,121859271,0,2
1,2026-06-03 03:36:56.387223,121859271,23.11,2
1,2026-06-03 03:37:05.078518,121859271,0,1
solo,2026-06-03 03:37:05.283514,0,0
1,2026-06-03 03:37:05.078518,121859271,21.805,1
OPEN,2026-06-03 03:37:45.284127,0,0
1,2026-06-03 03:42:10.235271,121839170,0,2
1,2026-06-03 03:42:10.235271,121839170,24.200000000000003,2
1,2026-06-03 03:42:22.816870,121839170,0,1
solo,2026-06-03 03:42:23.021639,0,0
1,2026-06-03 03:42:22.816870,121839170,22.34,1
OPEN,2026-06-03 03:43:03.022605,0,0
1,2026-06-03 03:48:37.371754,1218496122,0,1
1,2026-06-03 03:48:37.371754,1218496122,24.52,1
1,2026-06-03 03:48:51.900876,1218496122,0,2
solo,2026-06-03 03:48:52.105250,0,0
1,2026-06-03 03:48:51.900876,1218496122,24.575000000000003,2
OPEN,2026-06-03 03:49:32.106050,0,0
1,2026-06-03 03:52:38.764912,1218496122,0,2
1,2026-06-03 03:52:38.764912,1218496122,25.314999999999998,2
1,2026-06-03 03:52:48.421009,1218496122,0,1
solo,2026-06-03 03:52:48.625893,0,0
1,2026-06-03 03:52:48.421009,1218496122,24.56,1
OPEN,2026-06-03 03:53:28.626594,0,0
1,2026-06-03 03:53:44.910975,1218496122,0,1
1,2026-06-03 03:53:44.910975,1218496122,25.23,1
1,2026-06-03 03:54:10.951917,1218496122,0,2
solo,2026-06-03 03:54:11.156802,0,0
1,2026-06-03 03:54:10.951917,1218496122,24.6,2
OPEN,2026-06-03 03:54:51.157531,0,0
1,2026-06-03 03:55:45.284379,1218496122,0,2
1,2026-06-03 03:55:45.284379,1218496122,12.19,2
OPEN,2026-06-03 03:56:25.284981,0,0
1,2026-06-03 03:56:28.687341,1218496122,0,2
1,2026-06-03 03:56:28.687341,1218496122,25.04,2
1,2026-06-03 03:56:59.033030,1218496122,0,1
solo,2026-06-03 03:56:59.237170,0,0
1,2026-06-03 03:56:59.033030,1218496122,24.57,1
OPEN,2026-06-03 03:57:39.238193,0,0
1,2026-06-03 03:58:12.734930,1218496122,0,1
1,2026-06-03 03:58:12.734930,1218496122,25.2,1
1,2026-06-03 03:58:32.876715,1218496122,0,2
solo,2026-06-03 03:58:33.081204,0,0
2,2026-06-03 03:58:35.513619,1218496122,0,2
2,2026-06-03 03:58:35.513619,1218496122,24.61,2
OPEN,2026-06-03 03:59:15.515955,0,0
1,2026-06-03 03:59:24.416910,1218496122,0,2
1,2026-06-03 03:59:24.416910,1218496122,24.865000000000002,2
OPEN,2026-06-03 04:00:04.417502,0,0
1,2026-06-03 04:05:30.767313,1218496122,0,2
1,2026-06-03 04:05:30.767313,1218496122,24.75,2
1,2026-06-03 04:05:56.502525,1218496122,0,1
solo,2026-06-03 04:05:56.705725,0,0
1,2026-06-03 04:05:56.502525,1218496122,24.32,1
OPEN,2026-06-03 04:06:36.706713,0,0
1,2026-06-03 04:06:45.457107,1218496122,0,1
1,2026-06-03 04:06:45.457107,1218496122,24.57,1
1,2026-06-03 04:06:59.418965,1218496122,0,2
solo,2026-06-03 04:06:59.622864,0,0
1,2026-06-03 04:06:59.418965,1218496122,24.63,2
OPEN,2026-06-03 04:07:39.623716,0,0
1,2026-06-03 04:07:41.829982,1218496122,0,2
1,2026-06-03 04:07:41.829982,1218496122,25.4,2
OPEN,2026-06-03 04:08:21.830635,0,0
1,2026-06-03 04:08:31.120654,1218496122,0,1
2,2026-06-03 04:08:32.944109,1218496122,0,1
2,2026-06-03 04:08:32.944109,1218496122,24.35,1
OPEN,2026-06-03 04:09:11.123277,0,0
1,2026-06-03 04:09:47.064979,1218496122,0,1
1,2026-06-03 04:09:47.064979,1218496122,24.83,1
1,2026-06-03 04:10:07.719410,1218496122,0,2
solo,2026-06-03 04:10:07.924841,0,0
1,2026-06-03 04:10:07.719410,1218496122,24.58,2
OPEN,2026-06-03 04:10:47.925545,0,0
1,2026-06-03 04:17:51.802665,1218496122,0,2
1,2026-06-03 04:17:51.802665,1218496122,25.615000000000002,2
1,2026-06-03 04:18:06.337418,1218496122,0,1
solo,2026-06-03 04:18:06.541375,0,0
1,2026-06-03 04:18:06.337418,1218496122,24.189999999999998,1
OPEN,2026-06-03 04:18:46.542191,0,0
1,2026-06-03 05:21:05.184979,121836132,0,1
1,2026-06-03 05:21:05.184979,121836132,22.17,1
1,2026-06-03 05:21:12.772933,121836132,0,2
solo,2026-06-03 05:21:12.976473,0,0
2,2026-06-03 05:21:15.407387,121836132,0,2
2,2026-06-03 05:21:15.407387,121836132,22.06,2
OPEN,2026-06-03 05:21:55.410809,0,0
1,2026-06-03 05:24:39.946692,12186133157,0,1
